shipyard without vessels
 Ningbo Donghe Shipyard (DOSCO)
Zhejiang Dongpeng Ship Building And Repairing Co.,Ltd.
FUJIAN HUADONG SHIPYARD (MID-SOUTH CHINA)	
CIC Boluomiao Shipyard(Haizhu)
Hyundai Vinashin Shipyard
Astilleros Ria De Aviles
PALUMBO (ITALY / MESSINAA) NEW BUILDING AREA
Ciramar Shipyard
Bollinger Shipyards, Lockport Repair (USA)
Bollinger Shipyards, Larose (USA)
